concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1666+,1.0,0.512,0.498928,1.0,1.0,9.125972747802734,-0.0050902473740279675,0.91,250,0.152,0.144,0.9473684210526315,0.998,0.999936,0.152,1.0,0.03121205894287642,0.02295041442950518,85.21768000132741,85.31106048377097
body_part,entities,808+,0.998,0.442,0.324864,0.998,1.0,8.75263500213623,-0.003983509261161089,0.74,249,0.3132530120481928,0.26506024096385544,0.8461538461538461,0.998,0.999968,0.3132530120481928,1.0,0.03253445688786369,0.0,81.25676178961385,80.77647848095253
cognition,verbs,567+,1.0,0.49,0.40235200000000004,1.0,1.0,8.370057106018066,0.0004112620372325182,0.814,250,0.288,0.248,0.8611111111111112,1.0,1.0,0.288,1.0,0.03254694521299684,0.008039152490838896,81.15859247172173,81.58766844886074
color,attributes,891-,1.0,0.496,0.47088,1.0,1.0,8.202223777770996,0.0011786151444539428,0.824,249,0.08433734939759036,0.0,0.0,1.0,1.0,0.08433734939759036,1.0,0.03427297927290916,0.0036701443746815486,71.50413306146334,71.47480858065383
desire_intention,verbs,1201-,1.0,0.512,0.515776,1.0,1.0,8.36792278289795,0.018317099660634995,0.818,249,0.321285140562249,0.321285140562249,1.0,0.998,1.0,0.321285140562249,1.0,0.027185434339818598,0.0015382914470800117,93.1708321697867,93.10722868117533
eating_drinking,verbs,77+,1.0,0.484,0.43390399999999996,1.0,1.0,8.62627124786377,0.0037146019749343395,0.856,250,0.084,0.012,0.14285714285714285,1.0,1.0,0.084,1.0,0.034898742485730425,0.006108558362370883,73.3815258546989,73.90076702916093
family_relation,entities,246-,1.0,0.532,0.503792,1.0,1.0,9.338232040405273,0.007489875890314579,0.884,245,0.12244897959183673,0.09387755102040816,0.7666666666666667,0.998,0.999984,0.12244897959183673,1.0,0.03460949945229405,0.013584760733320145,81.41103787766258,81.9832298997089
female_pronoun,grammar,1992-,1.0,0.496,0.491984,1.0,1.0,9.722511291503906,0.004609290044754744,0.754,250,0.484,0.248,0.512396694214876,0.968,0.992624,0.464,0.9586776859504132,0.032231744369612826,0.0,79.01199899027472,79.45365680681954
first_person_pronoun,grammar,1575-,1.0,0.528,0.571088,1.0,1.0,9.295136451721191,-0.005933762993663549,0.814,250,0.268,0.256,0.9552238805970149,0.998,1.0,0.264,0.9850746268656716,0.030978051110612782,0.00855215405364815,83.57628374421321,84.31089592042537
food_drink,entities,1386+,1.0,0.556,0.59736,1.0,1.0,8.922656059265137,-0.014960710890591145,0.822,250,0.016,0.004,0.25,1.0,1.0,0.016,1.0,0.02950937059679326,0.006987678097423648,85.20054232308698,85.03750238054135
