concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1666+,500,0.91,0.9099999999999999,0.916384,0.9040511727078892,0.9680365296803652,0.848,1.0,1.0,0.01,0.91,0.938,0.944,0.954,0.97,0.514,0.5328999999999999
body_part,entities,True,808+,500,0.74,0.74,0.8029280000000001,0.7257383966244726,0.7678571428571429,0.688,0.998,1.0,0.01,0.74,0.802,0.982,0.984,0.99,0.464,0.5161
cognition,verbs,True,567+,500,0.814,0.8140000000000001,0.825904,0.7928730512249443,0.8944723618090452,0.712,1.0,1.0,0.01,0.814,0.848,0.868,0.948,0.946,0.49,0.5153
color,attributes,True,891-,500,0.824,0.8240000000000001,0.8825599999999999,0.8320610687022901,0.7956204379562044,0.872,1.0,1.0,0.01,0.824,0.854,0.95,0.958,0.97,0.506,0.5206999999999999
desire_intention,verbs,True,1201-,500,0.818,0.8180000000000001,0.8265120000000001,0.7878787878787878,0.9441340782122905,0.676,1.0,1.0,0.01,0.818,0.824,0.92,0.926,0.96,0.502,0.5282
eating_drinking,verbs,True,77+,500,0.856,0.856,0.9150879999999999,0.861003861003861,0.832089552238806,0.892,1.0,1.0,0.01,0.856,0.884,0.904,0.922,0.966,0.508,0.5244
family_relation,entities,True,246-,500,0.884,0.884,0.9058879999999999,0.8816326530612245,0.9,0.864,1.0,1.0,0.01,0.884,0.888,0.918,0.946,0.952,0.468,0.5164
female_pronoun,grammar,True,1992-,500,0.754,0.754,0.753136,0.6771653543307087,0.9847328244274809,0.516,1.0,1.0,0.01,0.754,0.772,0.898,0.9,0.898,0.528,0.5129999999999998
first_person_pronoun,grammar,True,1575-,500,0.814,0.8140000000000001,0.83608,0.7973856209150327,0.8755980861244019,0.732,1.0,1.0,0.01,0.814,0.862,0.902,0.958,0.958,0.486,0.5186999999999999
food_drink,entities,True,1386+,500,0.822,0.8220000000000001,0.9019359999999998,0.8304761904761905,0.7927272727272727,0.872,1.0,1.0,0.01,0.822,0.856,0.854,0.892,0.92,0.512,0.5207
helping_prosocial,verbs,True,573-,500,0.822,0.8220000000000001,0.857528,0.8202020202020202,0.8285714285714286,0.812,1.0,1.0,0.01,0.822,0.87,0.892,0.952,0.954,0.494,0.5349000000000002
human_person,entities,True,1666+,500,0.838,0.8380000000000001,0.879856,0.847457627118644,0.800711743772242,0.9,1.0,1.0,0.01,0.838,0.834,0.88,0.878,0.872,0.502,0.5203
inside_dialogue,grammar,True,1870-,500,0.72,0.72,0.7274079999999999,0.631578947368421,0.9230769230769231,0.48,0.996,0.9995040000000001,0.01,0.72,0.788,0.848,0.9,0.906,0.518,0.5134000000000001
male_pronoun,grammar,True,439+,500,0.642,0.642,0.65352,0.5995525727069351,0.6802030456852792,0.536,1.0,1.0,0.01,0.642,0.67,0.734,0.736,0.736,0.49,0.5073000000000001
motion,verbs,True,768-,500,0.888,0.8879999999999999,0.9071119999999999,0.8808510638297873,0.9409090909090909,0.828,1.0,1.0,0.01,0.888,0.942,0.956,0.982,0.98,0.552,0.5294000000000001
nature_weather,entities,True,373-,500,0.84,0.8400000000000001,0.869688,0.8353909465020576,0.8601694915254238,0.812,1.0,1.0,0.01,0.84,0.836,0.848,0.898,0.902,0.502,0.5330000000000001
negation,grammar,True,47+,500,0.97,0.97,0.9853919999999999,0.9700598802395209,0.9681274900398407,0.972,1.0,1.0,0.01,0.97,0.96,0.968,0.986,0.984,0.488,0.5288999999999999
negative_emotion,attributes,True,1873+,500,0.894,0.894,0.922464,0.8950495049504951,0.8862745098039215,0.904,1.0,1.0,0.01,0.894,0.948,0.976,0.982,0.98,0.536,0.5356
perception,verbs,True,1776-,500,0.808,0.808,0.825304,0.799163179916318,0.8377192982456141,0.764,1.0,1.0,0.01,0.808,0.844,0.918,0.976,0.978,0.532,0.5425000000000001
place_location,entities,True,137+,500,0.856,0.856,0.8768879999999999,0.8518518518518519,0.8771186440677966,0.828,1.0,1.0,0.01,0.856,0.854,0.91,0.902,0.922,0.506,0.5258999999999999
positive_emotion,attributes,True,186+,500,0.924,0.924,0.9461440000000001,0.924901185770751,0.9140625,0.936,1.0,1.0,0.01,0.924,0.904,0.952,0.95,0.946,0.478,0.5169
size,attributes,True,694+,500,0.796,0.796,0.8373999999999999,0.80078125,0.7824427480916031,0.82,1.0,1.0,0.01,0.796,0.794,0.846,0.854,0.868,0.488,0.5294000000000001
speech,verbs,True,370+,500,0.866,0.866,0.8789919999999999,0.8514412416851441,0.9552238805970149,0.768,1.0,1.0,0.01,0.866,0.872,0.918,0.936,0.94,0.494,0.5385
toy_play_object,entities,True,1789-,500,0.73,0.73,0.7489760000000001,0.7261663286004056,0.7366255144032922,0.716,1.0,1.0,0.01,0.73,0.746,0.79,0.822,0.82,0.492,0.5190000000000001
