concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1075+,500,0.652,0.652,0.652616,0.48214285714285715,0.9418604651162791,0.324,1.0,1.0,0.01,0.652,0.806,0.842,0.874,0.876,0.496,0.5152
body_part,entities,True,176+,500,0.716,0.716,0.724536,0.6302083333333334,0.9029850746268657,0.484,0.998,0.999952,0.01,0.716,0.836,0.86,0.95,0.956,0.514,0.503
cognition,verbs,True,567+,500,0.662,0.662,0.660528,0.5420054200542005,0.8403361344537815,0.4,1.0,1.0,0.01,0.662,0.724,0.806,0.896,0.936,0.502,0.5110000000000001
color,attributes,True,1969+,500,0.712,0.712,0.7439920000000001,0.6742081447963801,0.7760416666666666,0.596,1.0,1.0,0.01,0.712,0.776,0.874,0.926,0.942,0.522,0.5168
desire_intention,verbs,True,653+,500,0.776,0.776,0.776,0.711340206185567,1.0,0.552,1.0,1.0,0.01,0.776,0.97,0.97,0.984,0.984,0.486,0.5154
eating_drinking,verbs,True,761-,500,0.738,0.738,0.741888,0.661498708010336,0.9343065693430657,0.512,1.0,1.0,0.01,0.738,0.77,0.834,0.876,0.926,0.522,0.505
family_relation,entities,True,1140-,500,0.724,0.724,0.7257359999999999,0.6290322580645161,0.9590163934426229,0.468,1.0,1.0,0.01,0.724,0.902,0.932,0.946,0.94,0.492,0.5099
female_pronoun,grammar,True,1049-,500,0.7,0.7,0.709168,0.6411483253588517,0.7976190476190477,0.536,1.0,1.0,0.01,0.7,0.714,0.736,0.738,0.762,0.486,0.5055
first_person_pronoun,grammar,True,34+,500,0.708,0.708,0.712912,0.6010928961748634,0.9482758620689655,0.44,1.0,1.0,0.01,0.708,0.782,0.892,0.942,0.944,0.496,0.5121
food_drink,entities,True,1849-,500,0.78,0.78,0.798424,0.7649572649572649,0.8211009174311926,0.716,1.0,1.0,0.01,0.78,0.838,0.894,0.898,0.904,0.524,0.5062
helping_prosocial,verbs,True,626+,500,0.668,0.668,0.668,0.5029940119760479,1.0,0.336,1.0,1.0,0.01,0.668,0.802,0.848,0.88,0.882,0.488,0.51
human_person,entities,True,1289-,500,0.628,0.628,0.629776,0.45614035087719296,0.8478260869565217,0.312,1.0,1.0,0.01,0.628,0.728,0.782,0.84,0.85,0.504,0.5085999999999999
inside_dialogue,grammar,True,1512+,500,0.668,0.668,0.668,0.5029940119760479,1.0,0.336,0.998,0.999728,0.01,0.668,0.76,0.834,0.882,0.892,0.504,0.5019
male_pronoun,grammar,True,1780+,500,0.582,0.582,0.5786399999999999,0.45144356955380577,0.6564885496183206,0.344,1.0,1.0,0.01,0.582,0.646,0.696,0.668,0.688,0.49,0.5033
motion,verbs,True,859-,500,0.652,0.652,0.652,0.4662576687116564,1.0,0.304,1.0,1.0,0.01,0.652,0.79,0.872,0.872,0.908,0.492,0.5037
nature_weather,entities,True,28+,500,0.632,0.632,0.633296,0.43902439024390244,0.9230769230769231,0.288,1.0,1.0,0.01,0.632,0.718,0.786,0.802,0.812,0.51,0.5073000000000001
negation,grammar,True,1106+,500,0.676,0.6759999999999999,0.6759999999999999,0.5207100591715976,1.0,0.352,1.0,1.0,0.01,0.676,0.784,0.834,0.912,0.922,0.52,0.5079
negative_emotion,attributes,True,1648-,500,0.73,0.73,0.735264,0.6867749419953596,0.8176795580110497,0.592,1.0,1.0,0.01,0.73,0.766,0.882,0.952,0.962,0.492,0.5157
perception,verbs,True,567+,500,0.67,0.6699999999999999,0.670912,0.5429362880886427,0.8828828828828829,0.392,1.0,1.0,0.01,0.67,0.79,0.884,0.916,0.914,0.48,0.5105999999999999
place_location,entities,True,433+,500,0.738,0.738,0.7390559999999999,0.6506666666666666,0.976,0.488,1.0,1.0,0.01,0.738,0.812,0.844,0.826,0.836,0.526,0.5067
positive_emotion,attributes,True,112+,500,0.714,0.714,0.714,0.5994397759103641,1.0,0.428,1.0,1.0,0.01,0.714,0.758,0.824,0.926,0.924,0.494,0.5083
size,attributes,True,1273-,500,0.664,0.6639999999999999,0.6721439999999999,0.5280898876404494,0.8867924528301887,0.376,1.0,1.0,0.01,0.664,0.852,0.876,0.938,0.938,0.504,0.5082000000000001
speech,verbs,True,1124-,500,0.782,0.782,0.7899040000000002,0.7447306791569087,0.8983050847457628,0.636,1.0,1.0,0.01,0.782,0.836,0.918,0.922,0.936,0.504,0.5147
toy_play_object,entities,True,940-,500,0.71,0.71,0.72168,0.6604215456674473,0.7966101694915254,0.564,1.0,1.0,0.01,0.71,0.772,0.76,0.814,0.826,0.486,0.5046999999999999
