concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1874-,1.0,0.254,0.16408,1.0,1.0,0.8375613689422607,0.0086700189858675,0.782,250,0.416,0.172,0.41346153846153844,0.986,0.9988319999999999,0.412,0.9903846153846154,0.17980503629473288,0.0,10.264022545891498,10.344308365330944
body_part,entities,1232+,0.998,0.618,0.706976,0.998,1.0,0.7873744368553162,0.007713276892900467,0.692,249,0.46987951807228917,0.1285140562248996,0.27350427350427353,0.99,0.998976,0.46184738955823296,0.9829059829059829,0.20302965664662087,0.04039045114289408,9.55715118869273,9.530197531614931
cognition,verbs,932+,1.0,0.552,0.57144,1.0,1.0,0.7422637939453125,-0.005495589692145586,0.764,249,0.46586345381526106,0.285140562248996,0.6120689655172413,0.992,0.999232,0.46586345381526106,1.0,0.16184602931747166,0.03168791358088226,11.477809473044836,11.31113369562018
color,attributes,1061+,1.0,0.374,0.355952,1.0,1.0,0.7669429183006287,0.0003663287207018584,0.794,250,0.312,0.1,0.32051282051282054,0.986,0.9994879999999999,0.312,1.0,0.18539384160544337,0.0,10.03193903453871,10.039037502642627
desire_intention,verbs,1414+,1.0,0.464,0.44252800000000003,1.0,1.0,0.7471481561660767,-0.0020835543982684612,0.72,250,0.532,0.272,0.5112781954887218,0.992,0.999504,0.528,0.9924812030075187,0.17251247596035024,0.0,10.31226154954453,10.358392717749037
eating_drinking,verbs,1372+,1.0,0.478,0.495184,1.0,1.0,0.7527035474777222,0.003678297158330679,0.85,250,0.296,0.148,0.5,0.988,0.99968,0.28,0.9459459459459459,0.1895319454460149,0.0,9.792385751435022,9.774183012813037
family_relation,entities,153+,1.0,0.482,0.531072,1.0,1.0,0.8438310027122498,-0.0014215457485988736,0.874,250,0.252,0.088,0.3492063492063492,0.976,0.997744,0.232,0.9206349206349206,0.19283990820157396,0.0,8.950035821785033,9.019811831156167
female_pronoun,grammar,1424-,1.0,0.514,0.5034399999999999,1.0,1.0,0.8156954646110535,-0.001353445346467197,0.684,250,0.628,0.208,0.33121019108280253,0.828,0.925184,0.508,0.8089171974522293,0.18349220940244723,0.007411046095025156,9.636960577268145,9.679588924404536
first_person_pronoun,grammar,1005+,1.0,0.596,0.628976,1.0,1.0,0.7530693411827087,-0.0020021728705614805,0.704,250,0.588,0.448,0.7619047619047619,0.98,0.998432,0.568,0.9659863945578231,0.15355705831300404,0.018934978644462894,11.761240676693285,11.79446882711238
food_drink,entities,1625+,1.0,0.602,0.626256,1.0,1.0,0.8074278831481934,0.01107095181941986,0.778,250,0.384,0.272,0.7083333333333334,0.954,0.9929599999999998,0.348,0.90625,0.1673373371421408,0.024150249376171454,11.405718983785384,11.442197239252183
helping_prosocial,verbs,36-,1.0,0.504,0.5114080000000001,1.0,1.0,0.7283329367637634,0.0019941520877182484,0.714,250,0.564,0.272,0.48226950354609927,0.974,0.996448,0.54,0.9574468085106383,0.17444008373089542,0.0,10.114021502059426,10.348866827252905
human_person,entities,24-,1.0,0.282,0.19471999999999998,1.0,1.0,0.8399680852890015,0.0015453657833859324,0.788,249,0.26104417670682734,0.04819277108433735,0.18461538461538463,0.994,0.999424,0.2570281124497992,0.9846153846153847,0.19377676960263082,0.0,9.161752570419072,9.10509016225414
inside_dialogue,grammar,1672-,0.998,0.514,0.533264,0.998,0.999728,0.7943180799484253,-0.0011664587073028088,0.63,248,0.7338709677419355,0.43951612903225806,0.5989010989010989,0.884,0.9546399999999999,0.6048387096774194,0.8241758241758241,0.17643011106204895,0.0,10.683923052784486,10.591526697483927
male_pronoun,grammar,270+,1.0,0.538,0.539072,1.0,1.0,0.8030300140380859,-0.005820624530315399,0.596,250,0.62,0.148,0.23870967741935484,0.844,0.9064480000000001,0.536,0.864516129032258,0.18719310865225716,0.003163181242605784,9.685823909021286,9.660113383452545
motion,verbs,811+,1.0,0.456,0.408624,1.0,1.0,0.7353056073188782,0.00858366396278143,0.68,250,0.596,0.352,0.5906040268456376,0.974,0.9953280000000001,0.58,0.9731543624161074,0.16464265373712272,0.005578497500364765,11.298818884156962,11.168462054259463
nature_weather,entities,13+,1.0,0.526,0.539536,1.0,1.0,0.7959204912185669,0.008487356826663017,0.67,250,0.632,0.388,0.6139240506329114,0.952,0.992928,0.568,0.8987341772151899,0.16599098691308428,0.0,11.072398072349129,11.011837514480744
negation,grammar,200+,1.0,0.488,0.487328,1.0,1.0,0.7233912348747253,0.0075479354709386826,0.792,250,0.356,0.124,0.34831460674157305,0.996,0.999888,0.356,1.0,0.1937539879195629,0.11033098811634888,9.27513231852637,9.366195711896554
