concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1874-,500,0.782,0.782,0.7856320000000001,0.7281795511221946,0.9668874172185431,0.584,1.0,1.0,0.01,0.782,0.798,0.796,0.946,0.958,0.47,0.5043
body_part,entities,True,1232+,500,0.692,0.692,0.718384,0.631578947368421,0.7857142857142857,0.528,0.998,1.0,0.01,0.692,0.89,0.942,0.948,0.972,0.506,0.5066999999999999
cognition,verbs,True,932+,500,0.764,0.764,0.7649840000000001,0.6927083333333334,0.9925373134328358,0.532,1.0,1.0,0.01,0.764,0.826,0.908,0.96,0.986,0.514,0.5021
color,attributes,True,1061+,500,0.794,0.794,0.8239359999999999,0.7695749440715883,0.8730964467005076,0.688,1.0,1.0,0.01,0.794,0.872,0.928,0.956,0.968,0.552,0.518
desire_intention,verbs,True,1414+,500,0.72,0.72,0.722664,0.6256684491978609,0.9435483870967742,0.468,1.0,1.0,0.01,0.72,0.746,0.796,0.796,0.796,0.5,0.5028
eating_drinking,verbs,True,1372+,500,0.85,0.85,0.851008,0.8243559718969555,0.9943502824858758,0.704,1.0,1.0,0.01,0.85,0.892,0.922,0.956,0.978,0.5,0.5022
family_relation,entities,True,153+,500,0.874,0.874,0.874,0.8558352402745996,1.0,0.748,1.0,1.0,0.01,0.874,0.954,0.95,0.958,0.954,0.484,0.5095999999999999
female_pronoun,grammar,True,1424-,500,0.684,0.6839999999999999,0.684056,0.5406976744186046,0.9893617021276596,0.372,1.0,1.0,0.01,0.684,0.76,0.788,0.786,0.78,0.488,0.5067000000000002
first_person_pronoun,grammar,True,1005+,500,0.704,0.704,0.7048239999999999,0.5819209039548022,0.9903846153846154,0.412,1.0,1.0,0.01,0.704,0.846,0.9,0.966,0.966,0.486,0.5044000000000001
food_drink,entities,True,1625+,500,0.778,0.778,0.789632,0.7350835322195705,0.9112426035502958,0.616,1.0,1.0,0.01,0.778,0.816,0.854,0.924,0.922,0.528,0.5055
helping_prosocial,verbs,True,36-,500,0.714,0.714,0.715488,0.6038781163434903,0.9819819819819819,0.436,1.0,1.0,0.01,0.714,0.818,0.864,0.92,0.922,0.488,0.5087999999999999
human_person,entities,True,24-,500,0.788,0.788,0.786488,0.7773109243697479,0.8185840707964602,0.74,1.0,1.0,0.01,0.788,0.786,0.804,0.802,0.826,0.504,0.5035000000000001
inside_dialogue,grammar,True,1672-,500,0.63,0.63,0.630528,0.416403785488959,0.9850746268656716,0.264,0.998,0.999728,0.01,0.63,0.75,0.82,0.858,0.874,0.49,0.5035999999999999
male_pronoun,grammar,True,270+,500,0.596,0.5960000000000001,0.589528,0.4846938775510204,0.6690140845070423,0.38,1.0,1.0,0.01,0.596,0.624,0.618,0.672,0.67,0.5,0.5052000000000001
motion,verbs,True,811+,500,0.68,0.6799999999999999,0.6854959999999999,0.5580110497237569,0.9017857142857143,0.404,1.0,1.0,0.01,0.68,0.74,0.876,0.9,0.9,0.496,0.508
nature_weather,entities,True,13+,500,0.67,0.6699999999999999,0.6736159999999999,0.5272206303724928,0.9292929292929293,0.368,1.0,1.0,0.01,0.67,0.73,0.726,0.852,0.876,0.526,0.5063
negation,grammar,True,200+,500,0.792,0.792,0.792504,0.755868544600939,0.9147727272727273,0.644,1.0,1.0,0.01,0.792,0.858,0.916,0.944,0.942,0.514,0.5076
negative_emotion,attributes,True,1480-,500,0.838,0.838,0.835488,0.8154897494305239,0.9470899470899471,0.716,1.0,1.0,0.01,0.838,0.874,0.89,0.898,0.918,0.508,0.5114000000000001
perception,verbs,True,1956-,500,0.668,0.6679999999999999,0.6676879999999998,0.5284090909090909,0.9117647058823529,0.372,1.0,1.0,0.01,0.668,0.706,0.81,0.812,0.898,0.48,0.502
place_location,entities,True,1503-,500,0.798,0.798,0.82496,0.7799564270152506,0.8564593301435407,0.716,0.998,1.0,0.01,0.798,0.794,0.896,0.918,0.918,0.514,0.5085000000000001
positive_emotion,attributes,True,1840-,500,0.696,0.696,0.6948559999999999,0.5754189944134078,0.9537037037037037,0.412,1.0,1.0,0.01,0.696,0.758,0.754,0.882,0.884,0.504,0.5108
size,attributes,True,1298-,500,0.73,0.73,0.746512,0.7294589178356713,0.7309236947791165,0.728,1.0,1.0,0.01,0.73,0.774,0.82,0.886,0.886,0.508,0.5058
speech,verbs,True,1246+,500,0.926,0.9259999999999999,0.9282879999999999,0.9207708779443254,0.9907834101382489,0.86,1.0,1.0,0.01,0.926,0.928,0.938,0.942,0.942,0.488,0.5039999999999999
toy_play_object,entities,True,1129-,500,0.682,0.6819999999999999,0.691632,0.5974683544303797,0.8137931034482758,0.472,1.0,1.0,0.01,0.682,0.68,0.746,0.77,0.764,0.464,0.5021
