concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,737-,1.0,0.616,0.658288,1.0,1.0,1.1262274980545044,0.0035150188487023115,0.648,250,0.7,0.464,0.6628571428571428,0.988,0.9995360000000001,0.688,0.9828571428571429,0.16424629767186893,0.034397919827956626,10.954240430223798,11.172526734959941
body_part,entities,1791-,0.998,0.538,0.563952,0.998,0.999952,1.0991140604019165,0.0025930246338248253,0.73,249,0.4979919678714859,0.357429718875502,0.717741935483871,0.996,0.9996320000000001,0.4939759036144578,0.9919354838709677,0.1719593797273069,0.0,10.730594591865565,10.883642719923872
cognition,verbs,1478-,1.0,0.516,0.5029440000000001,1.0,1.0,1.1183470487594604,-0.009068050421774387,0.708,250,0.528,0.248,0.4696969696969697,0.988,0.9984,0.524,0.9924242424242424,0.16404721664145364,0.0,11.10239935346297,11.106126290958198
color,attributes,1007+,1.0,0.506,0.493728,1.0,1.0,1.0768975019454956,0.004895382095128298,0.804,249,0.37349397590361444,0.10040160642570281,0.26881720430107525,0.996,0.999888,0.37349397590361444,1.0,0.17136366740028522,0.0097813484459292,10.255692679803474,10.395940768474903
desire_intention,verbs,542+,1.0,0.55,0.6429440000000001,1.0,1.0,1.1318765878677368,0.006957708857953548,0.762,250,0.44,0.136,0.3090909090909091,0.998,1.0,0.44,1.0,0.15458987352167286,0.029379433276161666,11.79382536384483,11.807113303880326
eating_drinking,verbs,217-,1.0,0.482,0.48838400000000004,1.0,1.0,1.0733479261398315,-0.005679742898792028,0.716,250,0.552,0.272,0.4927536231884058,0.992,0.999888,0.544,0.9855072463768116,0.15658741878629587,0.0,11.321961806291103,11.408051359956458
family_relation,entities,1855-,1.0,0.496,0.5014879999999999,1.0,1.0,1.2106953859329224,-0.0038474230095744133,0.746,249,0.3815261044176707,0.26506024096385544,0.6947368421052632,0.98,0.996864,0.36947791164658633,0.968421052631579,0.15080187130522668,0.03574765121822392,12.170413956487817,12.232632129964307
female_pronoun,grammar,1714+,1.0,0.424,0.40604799999999996,1.0,1.0,1.2459360361099243,-0.0005012789042666554,0.742,250,0.512,0.168,0.328125,0.856,0.939152,0.408,0.796875,0.18528026908029596,0.0026042790945160796,9.795926520666061,9.905291183495592
first_person_pronoun,grammar,34+,1.0,0.532,0.5343519999999999,1.0,1.0,1.1822534799575806,-0.005572732537984848,0.68,250,0.632,0.296,0.46835443037974683,0.988,0.999184,0.62,0.9810126582278481,0.1834644914011752,0.0,10.042759481034576,10.067174847383965
food_drink,entities,492-,1.0,0.436,0.4256960000000001,1.0,1.0,1.089261531829834,0.0018053111853078008,0.866,250,0.244,0.072,0.29508196721311475,0.986,0.998384,0.24,0.9836065573770492,0.177467641690901,0.03217365780856073,10.394112050569632,10.433267796661905
helping_prosocial,verbs,1525-,1.0,0.474,0.430256,1.0,1.0,1.1076207160949707,-0.0046892547979950905,0.674,250,0.652,0.376,0.5766871165644172,0.994,0.99944,0.648,0.9938650306748467,0.1669385263071765,0.0,10.557060512911804,10.629825828709729
human_person,entities,1855-,1.0,0.404,0.366832,1.0,1.0,1.1572037935256958,0.003019139403477311,0.63,249,0.7228915662650602,0.11244979919678715,0.15555555555555556,0.972,0.9970399999999999,0.7028112449799196,0.9722222222222222,0.18731295563791045,0.0,9.688943294830814,9.556362695787564
inside_dialogue,grammar,569-,0.998,0.504,0.5296319999999999,0.998,0.99984,1.1453027725219727,-0.002834341721609235,0.678,248,0.6451612903225806,0.3870967741935484,0.6,0.882,0.9569439999999999,0.5282258064516129,0.81875,0.17385797505339765,0.0,10.436391150689495,10.500750855955863
male_pronoun,grammar,747-,1.0,0.508,0.561488,1.0,1.0,1.2415157556533813,-0.00784714799374342,0.634,250,0.532,0.048,0.09022556390977443,0.832,0.90504,0.456,0.8571428571428571,0.15362833053562053,0.05703124868993294,11.388609316110704,11.31454532451701
motion,verbs,1103+,1.0,0.58,0.6095039999999999,1.0,1.0,1.1226109266281128,-0.01943831704556942,0.694,250,0.58,0.356,0.6137931034482759,0.99,0.99808,0.572,0.9862068965517241,0.16909502492291467,0.017498664375011422,11.510545065609332,11.352435654622548
nature_weather,entities,1639-,1.0,0.418,0.39987199999999995,1.0,1.0,1.0756521224975586,-0.003190362360328436,0.674,250,0.64,0.288,0.45,0.948,0.99376,0.584,0.9125,0.175712183975299,0.06156842573303451,10.340129357001292,10.371953136447912
negation,grammar,422-,1.0,0.536,0.5877279999999999,1.0,1.0,1.1662758588790894,-0.005916540045291185,0.728,250,0.536,0.064,0.11940298507462686,1.0,1.0,0.536,1.0,0.17245315992799218,0.05161434409505296,10.670764864906378,10.59696835110358
negative_emotion,attributes,1090-,1.0,0.482,0.466128,1.0,1.0,1.0808831453323364,0.007348225452005863,0.824,250,0.332,0.216,0.6506024096385542,0.99,0.99928,0.328,0.9879518072289156,0.18742073908985568,0.0,9.99084462625509,9.965027929592337
perception,verbs,1485-,1.0,0.616,0.6656639999999999,1.0,1.0,1.1508543491363525,-0.02080971747636795,0.62,250,0.756,0.464,0.6137566137566137,0.998,1.0,0.756,1.0,0.1593934368328831,0.0,10.97697799828395,11.120671157757076
place_location,entities,1649+,1.0,0.492,0.494784,1.0,1.0,1.0899120569229126,0.001956111053004861,0.762,247,0.4574898785425101,0.0,0.0,0.998,1.0,0.4534412955465587,0.9911504424778761,0.19666190965496225,0.0,9.553114196118273,9.561697201014914
positive_emotion,attributes,272-,1.0,0.446,0.46712,1.0,1.0,1.0794037580490112,-0.003296166891232133,0.624,248,0.7096774193548387,0.17338709677419356,0.24431818181818182,0.988,0.998624,0.7056451612903226,0.9943181818181818,0.17850574750401177,0.007562417408490663,9.534641184775513,9.664711321060924
size,attributes,1369-,1.0,0.622,0.6000160000000001,1.0,1.0,1.109601378440857,0.013988081365823746,0.672,250,0.532,0.296,0.556390977443609,0.982,0.9984000000000001,0.516,0.9699248120300752,0.1558600610124521,0.040805445456418905,12.005487891789372,11.603889610469858
speech,verbs,1014-,1.0,0.624,0.6532640000000001,1.0,1.0,1.1399866342544556,-0.002759059891104698,0.882,250,0.228,0.148,0.6491228070175439,0.99,0.9996959999999999,0.22,0.9649122807017544,0.15743868858988191,0.0,11.095110975207067,11.02034455173186
toy_play_object,entities,533-,1.0,0.458,0.44798399999999994,1.0,1.0,1.0985355377197266,0.002695629606023431,0.646,249,0.6987951807228916,0.18875502008032127,0.27011494252873564,0.912,0.974736,0.6265060240963856,0.896551724137931,0.2154309194562597,0.051675673407349,8.921078647665333,8.940975524797727
