concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1406+,500,0.886,0.886,0.904848,0.8819875776397516,0.9141630901287554,0.852,1.0,1.0,0.01,0.886,0.908,0.952,0.97,0.97,0.484,0.5037999999999999
body_part,entities,True,1278-,500,0.894,0.894,0.896992,0.8824833702882483,0.9900497512437811,0.796,0.998,1.0,0.01,0.894,0.894,0.976,0.98,0.978,0.536,0.5028
cognition,verbs,True,1946-,500,0.86,0.86,0.86116,0.8379629629629629,0.9945054945054945,0.724,1.0,1.0,0.01,0.86,0.868,0.938,0.974,0.994,0.482,0.507
color,attributes,True,658+,500,0.95,0.95,0.9900720000000001,0.9516441005802708,0.9213483146067416,0.984,1.0,1.0,0.01,0.95,0.974,0.976,0.98,0.976,0.51,0.5081
desire_intention,verbs,True,741+,500,0.856,0.856,0.859816,0.8341013824884793,0.9836956521739131,0.724,1.0,1.0,0.01,0.856,0.886,0.95,0.986,0.988,0.488,0.5072999999999999
eating_drinking,verbs,True,362-,500,0.846,0.846,0.848768,0.819672131147541,0.9887005649717514,0.7,1.0,1.0,0.01,0.846,0.854,0.904,0.964,0.978,0.5,0.5074000000000002
family_relation,entities,True,1312-,500,0.902,0.902,0.904592,0.8923076923076924,0.9902439024390244,0.812,0.998,1.0,0.01,0.902,0.966,0.972,0.976,0.976,0.498,0.5094000000000001
female_pronoun,grammar,True,1235+,500,0.682,0.6819999999999999,0.688512,0.6800804828973843,0.6842105263157895,0.676,1.0,1.0,0.01,0.682,0.76,0.824,0.844,0.84,0.496,0.5063000000000001
first_person_pronoun,grammar,True,973+,500,0.834,0.8340000000000001,0.83664,0.8037825059101655,0.9826589595375722,0.68,1.0,1.0,0.01,0.834,0.888,0.916,0.932,0.948,0.52,0.5157
food_drink,entities,True,1625+,500,0.982,0.982,0.9979359999999999,0.9821782178217822,0.9725490196078431,0.992,1.0,1.0,0.01,0.982,0.984,0.992,0.986,0.988,0.536,0.5118
helping_prosocial,verbs,True,412+,500,0.75,0.75,0.746592,0.7030878859857482,0.8654970760233918,0.592,1.0,1.0,0.01,0.75,0.772,0.84,0.938,0.938,0.498,0.5085999999999999
human_person,entities,True,1167-,500,0.692,0.692,0.6980399999999999,0.5860215053763441,0.8934426229508197,0.436,1.0,1.0,0.01,0.692,0.738,0.844,0.886,0.906,0.496,0.5064
inside_dialogue,grammar,True,384+,500,0.784,0.784,0.787312,0.7403846153846154,0.927710843373494,0.616,0.994,0.999792,0.01,0.784,0.83,0.874,0.93,0.942,0.514,0.5084
male_pronoun,grammar,True,1673-,500,0.64,0.6399999999999999,0.6530880000000001,0.6153846153846154,0.6605504587155964,0.576,1.0,1.0,0.01,0.64,0.64,0.694,0.694,0.746,0.504,0.5009
motion,verbs,True,153-,500,0.8,0.8,0.806816,0.7572815533980582,0.9629629629629629,0.624,1.0,1.0,0.01,0.8,0.804,0.904,0.932,0.968,0.518,0.5109
nature_weather,entities,True,1245-,500,0.852,0.852,0.8529680000000001,0.8271028037383178,0.9943820224719101,0.708,1.0,1.0,0.01,0.852,0.854,0.916,0.914,0.918,0.53,0.5075000000000001
negation,grammar,True,950+,500,0.908,0.9079999999999999,0.9106719999999999,0.8995633187772926,0.9903846153846154,0.824,1.0,1.0,0.01,0.908,0.966,0.98,0.992,0.994,0.494,0.5072999999999999
negative_emotion,attributes,True,1050-,500,0.784,0.784,0.82524,0.7777777777777778,0.8008474576271186,0.756,1.0,1.0,0.01,0.784,0.81,0.878,0.91,0.91,0.49,0.5126000000000001
perception,verbs,True,127-,500,0.718,0.718,0.7197279999999999,0.6115702479338843,0.9823008849557522,0.444,1.0,1.0,0.01,0.718,0.738,0.864,0.976,0.976,0.488,0.5094000000000001
place_location,entities,True,1185-,500,0.874,0.874,0.8930079999999999,0.8662420382165605,0.9230769230769231,0.816,1.0,1.0,0.01,0.874,0.886,0.898,0.93,0.944,0.544,0.5045000000000001
positive_emotion,attributes,True,1541+,500,0.858,0.858,0.861328,0.8453159041394336,0.9282296650717703,0.776,1.0,1.0,0.01,0.858,0.844,0.91,0.972,0.966,0.49,0.5095999999999998
size,attributes,True,159+,500,0.804,0.804,0.828232,0.7887931034482759,0.8551401869158879,0.732,1.0,1.0,0.01,0.804,0.818,0.918,0.926,0.93,0.488,0.5076999999999999
speech,verbs,True,1377-,500,0.858,0.858,0.858,0.8344988344988346,1.0,0.716,1.0,1.0,0.01,0.858,0.858,0.942,0.952,0.95,0.5,0.5144
toy_play_object,entities,True,804+,500,0.726,0.726,0.729824,0.6478149100257069,0.9064748201438849,0.504,1.0,1.0,0.01,0.726,0.788,0.804,0.856,0.858,0.486,0.5055
