concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,604-,500,0.784,0.784,0.784008,0.7313432835820896,0.9671052631578947,0.588,1.0,1.0,0.01,0.784,0.856,0.884,0.936,0.936,0.516,0.5149
body_part,entities,True,1197-,500,0.752,0.752,0.757176,0.6787564766839378,0.9632352941176471,0.524,0.998,1.0,0.01,0.752,0.93,0.94,0.952,0.95,0.478,0.5093
cognition,verbs,True,851+,500,0.814,0.8140000000000001,0.8282400000000001,0.7832167832167832,0.9385474860335196,0.672,1.0,1.0,0.01,0.814,0.878,0.918,0.936,0.938,0.502,0.5095999999999999
color,attributes,True,1648+,500,0.812,0.812,0.810872,0.7740384615384616,0.9698795180722891,0.644,1.0,1.0,0.01,0.812,0.824,0.918,0.952,0.95,0.494,0.5145000000000001
desire_intention,verbs,True,1201-,500,0.954,0.954,0.9623999999999999,0.9531568228105907,0.970954356846473,0.936,1.0,1.0,0.01,0.954,0.962,0.962,0.97,0.972,0.488,0.508
eating_drinking,verbs,True,1034+,500,0.848,0.848,0.8608239999999999,0.8311111111111111,0.935,0.748,1.0,1.0,0.01,0.848,0.846,0.88,0.908,0.912,0.508,0.5135
family_relation,entities,True,1197-,500,0.842,0.842,0.843232,0.8132387706855791,0.9942196531791907,0.688,1.0,1.0,0.01,0.842,0.83,0.944,0.95,0.962,0.464,0.5103000000000001
female_pronoun,grammar,True,753-,500,0.602,0.602,0.674064,0.6105675146771037,0.5977011494252874,0.624,1.0,1.0,0.01,0.602,0.698,0.732,0.754,0.752,0.534,0.5093999999999999
first_person_pronoun,grammar,True,729+,500,0.802,0.802,0.809104,0.762589928057554,0.9520958083832335,0.636,1.0,1.0,0.01,0.802,0.88,0.884,0.886,0.888,0.484,0.5162000000000001
food_drink,entities,True,865+,500,0.812,0.812,0.8524479999999999,0.8171206225680934,0.7954545454545454,0.84,1.0,1.0,0.01,0.812,0.852,0.844,0.888,0.886,0.498,0.5058
helping_prosocial,verbs,True,1636+,500,0.816,0.816,0.8298079999999999,0.7889908256880734,0.9247311827956989,0.688,1.0,1.0,0.01,0.816,0.828,0.878,0.938,0.954,0.502,0.5118
human_person,entities,True,582-,500,0.768,0.768,0.7678,0.7170731707317073,0.91875,0.588,1.0,1.0,0.01,0.768,0.792,0.87,0.88,0.902,0.51,0.5123
inside_dialogue,grammar,True,1189-,500,0.666,0.6659999999999999,0.6667519999999999,0.5102639296187683,0.9560439560439561,0.348,0.992,0.998784,0.01,0.666,0.762,0.85,0.84,0.866,0.504,0.5116
male_pronoun,grammar,True,753-,500,0.586,0.586,0.5959920000000001,0.5900990099009901,0.5843137254901961,0.596,1.0,1.0,0.01,0.586,0.63,0.666,0.696,0.73,0.494,0.5061000000000001
motion,verbs,True,416+,500,0.982,0.982,0.9839199999999999,0.9817444219066938,0.9958847736625515,0.968,1.0,1.0,0.01,0.982,0.994,0.992,0.992,0.992,0.49,0.5105000000000001
nature_weather,entities,True,652+,500,0.7,0.7,0.7034959999999999,0.5967741935483871,0.9098360655737705,0.444,1.0,1.0,0.01,0.7,0.744,0.81,0.844,0.858,0.502,0.5034
negation,grammar,True,422-,500,0.814,0.8140000000000001,0.8142400000000001,0.7832167832167832,0.9385474860335196,0.672,1.0,1.0,0.01,0.814,0.866,0.874,0.92,0.94,0.51,0.5219
negative_emotion,attributes,True,695-,500,0.864,0.864,0.87396,0.8502202643171806,0.946078431372549,0.772,1.0,1.0,0.01,0.864,0.896,0.894,0.908,0.942,0.49,0.512
perception,verbs,True,730+,500,0.748,0.748,0.7454639999999999,0.685,0.9133333333333333,0.548,1.0,1.0,0.01,0.748,0.86,0.91,0.932,0.934,0.464,0.5103000000000001
place_location,entities,True,1149-,500,0.798,0.798,0.8146880000000001,0.7709750566893424,0.8900523560209425,0.68,1.0,1.0,0.01,0.798,0.88,0.898,0.916,0.92,0.516,0.5092000000000001
positive_emotion,attributes,True,811-,500,0.744,0.744,0.730032,0.7009345794392523,0.8426966292134831,0.6,1.0,1.0,0.01,0.744,0.774,0.806,0.84,0.826,0.504,0.5093
size,attributes,True,402-,500,0.698,0.698,0.7620960000000001,0.6834381551362684,0.7180616740088106,0.652,1.0,1.0,0.01,0.698,0.814,0.844,0.84,0.916,0.5,0.5111000000000001
speech,verbs,True,1014-,500,0.788,0.788,0.7968160000000001,0.7414634146341463,0.95,0.608,1.0,1.0,0.01,0.788,0.844,0.924,0.964,0.972,0.5,0.5151000000000001
toy_play_object,entities,True,1060-,500,0.702,0.702,0.7050080000000001,0.6265664160401002,0.8389261744966443,0.5,1.0,1.0,0.01,0.702,0.66,0.736,0.806,0.832,0.532,0.5105999999999999
