concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,51+,0.99,0.608,0.647712,0.99,0.999424,1.1880890130996704,-0.007980016991496086,0.58,242,0.7479338842975206,0.32644628099173556,0.43646408839779005,0.952,0.986416,0.7272727272727273,0.9723756906077348,0.18830729238489238,9.155513628685741e-08,9.973116287210107,10.140623886558336
body_part,entities,187+,0.984,0.526,0.6181760000000001,0.984,0.999904,1.1230064630508423,-0.006234865169972181,0.686,235,0.6,0.02127659574468085,0.03546099290780142,0.954,0.9939199999999999,0.5702127659574469,0.950354609929078,0.18121936870172015,0.010427743794039188,10.182905920182328,10.103412438762184
cognition,verbs,1041+,0.998,0.5,0.40681599999999996,0.998,0.999984,1.0986018180847168,-0.007673931308090687,0.818,243,0.35390946502057613,0.0,0.0,0.99,0.999424,0.3497942386831276,0.9883720930232558,0.2022247207132949,0.000315023152097673,9.084808073468118,9.239432301793407
color,attributes,231+,0.994,0.546,0.572,0.994,0.9994879999999999,1.1482516527175903,0.0013785023475065827,0.722,247,0.5303643724696356,0.11740890688259109,0.22137404580152673,0.96,0.99024,0.5020242914979757,0.9465648854961832,0.18625273325456532,0.035140351877022497,9.914610846212659,9.998895784624962
desire_intention,verbs,59+,0.998,0.5,0.679872,0.998,0.999968,1.1095728874206543,-0.0026571692433208227,0.718,249,0.4939759036144578,0.0,0.0,0.984,0.998896,0.4819277108433735,0.975609756097561,0.18880784287459576,0.10228921885902902,10.334647134341228,10.478976669485007
eating_drinking,verbs,1695-,0.998,0.502,0.638352,0.998,1.0,1.101660132408142,-0.0025156668853014708,0.752,245,0.4857142857142857,0.0,0.0,0.984,0.998336,0.4816326530612245,0.9915966386554622,0.16378140263520746,0.044993421243102336,10.711106899107293,10.804372520104488
family_relation,entities,624+,0.98,0.56,0.6474399999999999,0.98,0.9982080000000001,1.2149512767791748,0.003893687156960368,0.696,229,0.5414847161572053,0.33624454148471616,0.6209677419354839,0.922,0.9662240000000001,0.5109170305676856,0.9435483870967742,0.17969602469558638,0.058401419229267636,10.01446505193532,10.183440993475113
female_pronoun,grammar,403+,0.87,0.452,0.465136,0.87,0.924032,1.1388938426971436,-0.0014649250078946352,0.534,206,0.7961165048543689,0.20388349514563106,0.25609756097560976,0.676,0.7419680000000001,0.5339805825242718,0.6707317073170732,0.1904123898404415,0.0002810790254682737,9.76650299261675,9.805196978900767
first_person_pronoun,grammar,454-,0.996,0.502,0.593376,0.996,0.9994240000000001,1.1299827098846436,0.007377338595688343,0.738,241,0.46473029045643155,0.008298755186721992,0.017857142857142856,0.948,0.984336,0.44398340248962653,0.9553571428571429,0.16581827107927977,0.0,10.750236576139287,10.781871281032936
food_drink,entities,673-,0.976,0.43,0.432528,0.976,0.9985120000000001,1.1380298137664795,-0.008771834895014763,0.62,204,0.6715686274509803,0.06862745098039216,0.10218978102189781,0.868,0.939456,0.6176470588235294,0.9197080291970803,0.17487851361112,0.0,10.566729475631693,10.795130118773494
