concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,51+,500,0.58,0.5800000000000001,0.5830000000000001,0.3674698795180723,0.7439024390243902,0.244,0.99,0.999424,0.1,0.58,0.63,0.696,0.838,0.85,0.502,0.5046999999999999
body_part,entities,True,187+,500,0.686,0.6859999999999999,0.6864319999999999,0.5449275362318841,0.9894736842105263,0.376,0.984,0.999904,0.01,0.686,0.694,0.774,0.846,0.866,0.508,0.5107
cognition,verbs,True,1041+,500,0.818,0.8180000000000001,0.8192480000000001,0.7785888077858881,0.9937888198757764,0.64,0.998,0.999984,0.01,0.818,0.836,0.904,0.95,0.95,0.49,0.5322
color,attributes,True,231+,500,0.722,0.722,0.725424,0.6253369272237197,0.9586776859504132,0.464,0.994,0.9994879999999999,10.0,0.722,0.732,0.818,0.834,0.856,0.478,0.5086999999999999
desire_intention,verbs,True,59+,500,0.718,0.718,0.723008,0.6412213740458015,0.8811188811188811,0.504,0.998,0.999968,10.0,0.718,0.798,0.886,0.946,0.972,0.516,0.5052
eating_drinking,verbs,True,1695-,500,0.752,0.752,0.752,0.6702127659574468,1.0,0.504,0.998,1.0,0.01,0.752,0.842,0.856,0.908,0.946,0.502,0.5033000000000001
family_relation,entities,True,624+,500,0.696,0.696,0.698472,0.580110497237569,0.9375,0.42,0.98,0.998208,0.01,0.696,0.804,0.824,0.852,0.852,0.494,0.5074
female_pronoun,grammar,True,403+,500,0.534,0.534,0.5367679999999999,0.27414330218068533,0.6197183098591549,0.176,0.87,0.924032,1.0,0.534,0.578,0.592,0.604,0.608,0.508,0.4990000000000001
first_person_pronoun,grammar,True,454-,500,0.738,0.738,0.739328,0.6632390745501285,0.9280575539568345,0.516,0.996,0.9994240000000001,0.01,0.738,0.746,0.77,0.808,0.846,0.494,0.5018999999999999
food_drink,entities,True,673-,500,0.62,0.62,0.6242800000000001,0.4602272727272727,0.7941176470588235,0.324,0.976,0.9985120000000001,0.01,0.62,0.672,0.702,0.692,0.678,0.508,0.5039
helping_prosocial,verbs,True,613+,500,0.66,0.6599999999999999,0.6627519999999999,0.5086705202312138,0.9166666666666666,0.352,0.996,0.999904,0.01,0.66,0.778,0.804,0.852,0.882,0.484,0.5092999999999999
human_person,entities,True,1341+,500,0.604,0.604,0.603848,0.38125,0.8714285714285714,0.244,0.992,0.99832,0.01,0.604,0.608,0.718,0.8,0.828,0.524,0.5043
inside_dialogue,grammar,True,1045+,500,0.532,0.532,0.532096,0.145985401459854,0.8333333333333334,0.08,0.892,0.951904,0.1,0.532,0.55,0.588,0.634,0.668,0.502,0.5037
male_pronoun,grammar,True,716+,500,0.554,0.554,0.5584000000000001,0.4177545691906005,0.6015037593984962,0.32,0.902,0.9547519999999999,0.1,0.554,0.53,0.542,0.564,0.582,0.514,0.5018
motion,verbs,True,1739+,500,0.772,0.772,0.775032,0.7091836734693877,0.9788732394366197,0.556,0.996,0.9998079999999999,10.0,0.772,0.854,0.886,0.914,0.912,0.504,0.5027999999999999
nature_weather,entities,True,869+,500,0.584,0.584,0.584208,0.3246753246753247,0.8620689655172413,0.2,0.952,0.9943199999999999,0.01,0.584,0.616,0.688,0.728,0.738,0.506,0.5049999999999999
negation,grammar,True,1075-,500,0.628,0.628,0.628,0.40764331210191085,1.0,0.256,0.996,1.0,10.0,0.628,0.678,0.784,0.884,0.948,0.52,0.5024
negative_emotion,attributes,True,623-,500,0.702,0.702,0.7016159999999999,0.5779036827195467,0.9902912621359223,0.408,0.994,0.999984,0.1,0.702,0.818,0.852,0.898,0.904,0.51,0.5043000000000001
perception,verbs,True,1241-,500,0.614,0.614,0.6142559999999999,0.37942122186495175,0.9672131147540983,0.236,0.996,0.99992,0.01,0.614,0.754,0.798,0.852,0.864,0.51,0.5052
place_location,entities,True,1986+,500,0.686,0.6859999999999999,0.6859999999999999,0.5422740524781341,1.0,0.372,0.99,0.999776,10.0,0.686,0.744,0.762,0.836,0.846,0.502,0.5054000000000001
positive_emotion,attributes,True,258+,500,0.814,0.8140000000000001,0.8128,0.7726161369193154,0.9937106918238994,0.632,0.998,0.999696,0.01,0.814,0.888,0.906,0.906,0.908,0.506,0.5037
size,attributes,True,1043+,500,0.664,0.6639999999999999,0.6618959999999999,0.5254237288135594,0.8942307692307693,0.372,0.996,0.999776,10.0,0.664,0.83,0.866,0.878,0.878,0.496,0.512
speech,verbs,True,1838-,500,0.788,0.788,0.7870480000000001,0.7376237623762376,0.9675324675324676,0.596,0.996,0.999712,0.01,0.788,0.83,0.882,0.89,0.896,0.508,0.5141
toy_play_object,entities,True,1725-,500,0.576,0.576,0.576488,0.2789115646258503,0.9318181818181818,0.164,0.944,0.988224,0.1,0.576,0.628,0.642,0.678,0.678,0.486,0.5066
