concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1978+,0.99,0.488,0.48414399999999996,0.99,0.999216,1.1165595054626465,0.002905189758166671,0.668,245,0.6448979591836734,0.2530612244897959,0.3924050632911392,0.94,0.9883680000000001,0.6040816326530613,0.9367088607594937,0.18138578421140783,0.051291371707752775,10.313100915905022,10.337048722928731
body_part,entities,227-,0.99,0.518,0.6109439999999999,0.99,0.998928,1.0415621995925903,-0.0015094111440703273,0.562,245,0.8571428571428571,0.044897959183673466,0.05238095238095238,0.942,0.983872,0.8081632653061225,0.9428571428571428,0.18107351837435112,0.011949431388537903,9.83467490860366,9.862760476900526
cognition,verbs,916-,0.998,0.5,0.237664,0.998,0.99992,1.0913227796554565,-0.0032840417698025703,0.78,239,0.37656903765690375,0.0,0.0,0.986,0.9986079999999999,0.3723849372384937,0.9888888888888889,0.1941126783305944,0.0,8.917812853546927,9.008476655445044
color,attributes,860-,0.992,0.504,0.41025599999999995,0.992,0.9998400000000001,1.1110981702804565,-0.0002574130776338279,0.944,247,0.07692307692307693,0.016194331983805668,0.21052631578947367,0.976,0.996976,0.0728744939271255,0.9473684210526315,0.16806202575112286,0.0,11.098806271477956,11.037253574447078
desire_intention,verbs,1400-,0.996,0.498,0.565648,0.996,0.9999359999999999,1.0649490356445312,0.004896101076155901,0.762,247,0.46963562753036436,0.0,0.0,0.978,0.995872,0.44534412955465585,0.9482758620689655,0.16845456039554227,0.0,10.36815772785196,10.454878353495848
eating_drinking,verbs,1122-,0.994,0.5,0.464672,0.994,0.999472,1.0854822397232056,0.001079017180018127,0.692,237,0.5569620253164557,0.004219409282700422,0.007575757575757576,0.972,0.994416,0.5358649789029536,0.9621212121212122,0.1918558759066388,0.0011323376008414445,9.781246920320507,9.756671490781759
family_relation,entities,1132+,0.982,0.506,0.46201600000000004,0.982,0.997024,1.242983341217041,0.0029331413097679615,0.612,234,0.7564102564102564,0.09401709401709402,0.12429378531073447,0.87,0.9400479999999999,0.688034188034188,0.9096045197740112,0.22813884140805704,0.007349812211026864,7.679627514659188,8.056269153941422
first_person_pronoun,grammar,300+,0.95,0.542,0.571904,0.95,0.987424,1.1042261123657227,0.004004803951829672,0.588,204,0.7745098039215687,0.13725490196078433,0.17721518987341772,0.89,0.943904,0.7352941176470589,0.9493670886075949,0.18863186319644892,0.012741004154177317,10.013880506319573,10.104725647708538
food_drink,entities,831-,0.984,0.484,0.40112,0.984,0.997072,1.050560474395752,0.004739765077829361,0.682,222,0.5765765765765766,0.0,0.0,0.892,0.96328,0.5135135135135135,0.890625,0.19016039553645678,0.02143075671662081,9.66054737112092,9.555902696043185
helping_prosocial,verbs,1491-,0.992,0.548,0.720784,0.992,0.999872,1.0814945697784424,0.014306725934147835,0.746,234,0.45726495726495725,0.038461538461538464,0.08411214953271028,0.972,0.994576,0.44017094017094016,0.9626168224299065,0.1745208422493551,0.03419350927466572,10.602436614873092,10.886905650244543
human_person,entities,802+,0.978,0.516,0.540864,0.978,0.996608,1.1719151735305786,0.002727895276620984,0.642,231,0.6017316017316018,0.0735930735930736,0.1223021582733813,0.9,0.963552,0.5324675324675324,0.8848920863309353,0.21195547679373505,0.0,8.839783646018379,8.977683035250328
motion,verbs,540+,0.998,0.49,0.5920799999999999,0.998,0.99952,1.0737777948379517,-0.0007753238314762712,0.776,236,0.423728813559322,0.00847457627118644,0.02,0.982,0.996736,0.4152542372881356,0.98,0.16142762609516537,0.06910969645512414,11.82369294660802,11.796750810998699
nature_weather,entities,952-,0.948,0.512,0.543296,0.948,0.99016,1.0394269227981567,-0.0020547686144709587,0.54,204,0.8382352941176471,0.1568627450980392,0.1871345029239766,0.83,0.9067839999999999,0.7696078431372549,0.9181286549707602,0.18125724595785841,0.016595295895111634,9.983451758270027,10.0291038580981
negation,grammar,1724+,0.998,0.5,0.40814400000000006,0.998,1.0,1.135469675064087,-0.005002372898161411,0.674,242,0.6239669421487604,0.024793388429752067,0.039735099337748346,0.982,0.996336,0.6239669421487604,1.0,0.18890981196715234,0.0003291527565890505,9.422726498494658,9.322404971256722
negative_emotion,attributes,820-,0.988,0.494,0.564368,0.988,0.999424,1.1337751150131226,-0.008388468995690346,0.7,237,0.5527426160337553,0.0379746835443038,0.06870229007633588,0.958,0.989536,0.5358649789029536,0.9694656488549618,0.15916336915935997,0.04991808777565362,11.262270056660807,11.430226715856666
perception,verbs,1860-,0.992,0.47,0.42328000000000005,0.992,0.999504,1.0994023084640503,0.0029257582500576973,0.598,245,0.8,0.02040816326530612,0.025510204081632654,0.97,0.992944,0.7836734693877551,0.9795918367346939,0.1725066080422793,0.0,10.797785730533597,11.036362072315118
place_location,entities,1099+,0.972,0.476,0.376128,0.972,0.9968959999999999,1.0694637298583984,0.003623488824814558,0.706,222,0.5405405405405406,0.02252252252252252,0.041666666666666664,0.932,0.97656,0.5180180180180181,0.9583333333333334,0.1895082604659865,0.0,9.829681043050602,9.999140755314036
positive_emotion,attributes,1739+,0.988,0.462,0.465184,0.988,0.995872,1.1060682535171509,-0.0123409079387784,0.696,244,0.5491803278688525,0.00819672131147541,0.014925373134328358,0.962,0.987312,0.5286885245901639,0.9626865671641791,0.16578939439266255,0.010107500271335548,10.703879300285706,10.944846841042677
size,attributes,896-,0.992,0.588,0.617056,0.992,0.9998079999999999,1.1057219505310059,0.0019187724683433771,0.706,248,0.5564516129032258,0.29838709677419356,0.5362318840579711,0.966,0.9962080000000001,0.5241935483870968,0.9420289855072463,0.18923056687117587,0.0,10.289879985782253,9.936129797504872
speech,verbs,1699+,0.996,0.482,0.38008000000000003,0.996,0.999984,1.0691372156143188,0.0009777660015970469,0.708,228,0.5043859649122807,0.0,0.0,0.964,0.995424,0.49122807017543857,0.9739130434782609,0.17348965879325043,0.00013752738090051097,10.08721493403788,9.983203897313265
toy_play_object,entities,1813+,0.948,0.462,0.451824,0.948,0.9843680000000001,1.0501292943954468,-0.004392591305077076,0.612,212,0.7216981132075472,0.25471698113207547,0.35294117647058826,0.836,0.920992,0.6226415094339622,0.8627450980392157,0.1857937440245362,0.0,9.8024411105648,9.946020010771404
