concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1978+,500,0.668,0.6679999999999999,0.6664399999999999,0.5174418604651163,0.9468085106382979,0.356,0.99,0.999216,10.0,0.668,0.764,0.776,0.822,0.87,0.49,0.5021
body_part,entities,True,227-,500,0.562,0.5619999999999999,0.5628479999999999,0.24742268041237114,0.8780487804878049,0.144,0.99,0.998928,10.0,0.562,0.666,0.756,0.812,0.88,0.508,0.5057999999999999
cognition,verbs,True,916-,500,0.78,0.78,0.7902399999999999,0.7368421052631579,0.9166666666666666,0.616,0.998,0.99992,0.01,0.78,0.838,0.848,0.874,0.886,0.506,0.5092
color,attributes,True,860-,500,0.944,0.944,0.9554719999999999,0.9426229508196722,0.9663865546218487,0.92,0.992,0.9998400000000001,0.1,0.944,0.95,0.952,0.954,0.952,0.518,0.5077
desire_intention,verbs,True,1400-,500,0.762,0.762,0.762,0.6876640419947506,1.0,0.524,0.996,0.9999359999999999,0.1,0.762,0.762,0.94,0.938,0.944,0.494,0.5103
eating_drinking,verbs,True,1122-,500,0.692,0.692,0.6976959999999999,0.5792349726775956,0.9137931034482759,0.424,0.994,0.999472,0.01,0.692,0.724,0.782,0.784,0.81,0.506,0.5172
family_relation,entities,True,1132+,500,0.612,0.612,0.61244,0.37012987012987014,0.9827586206896551,0.228,0.982,0.997024,0.1,0.612,0.618,0.736,0.768,0.796,0.502,0.5027
female_pronoun,grammar,True,84+,500,0.546,0.546,0.542816,0.43950617283950616,0.5741935483870968,0.356,0.776,0.876528,0.01,0.546,0.538,0.568,0.572,0.582,0.494,0.4997999999999999
first_person_pronoun,grammar,True,300+,500,0.588,0.588,0.588048,0.3087248322147651,0.9583333333333334,0.184,0.95,0.987424,0.01,0.588,0.63,0.708,0.734,0.754,0.504,0.5027999999999999
food_drink,entities,True,831-,500,0.682,0.6819999999999999,0.6841919999999999,0.5495750708215298,0.941747572815534,0.388,0.984,0.997072,0.01,0.682,0.724,0.73,0.764,0.768,0.52,0.5039
helping_prosocial,verbs,True,1491-,500,0.746,0.746,0.745952,0.6735218508997429,0.9424460431654677,0.524,0.992,0.999872,0.01,0.746,0.792,0.828,0.878,0.88,0.49,0.5119
human_person,entities,True,802+,500,0.642,0.642,0.642992,0.5226666666666666,0.784,0.392,0.978,0.996608,0.1,0.642,0.656,0.656,0.67,0.694,0.516,0.5049
inside_dialogue,grammar,True,1988-,500,0.534,0.534,0.534,0.12734082397003746,1.0,0.068,0.792,0.875536,0.01,0.534,0.534,0.536,0.556,0.55,0.49,0.5006999999999999
male_pronoun,grammar,True,513+,500,0.534,0.534,0.536144,0.3044776119402985,0.6,0.204,0.77,0.8313280000000001,0.01,0.534,0.552,0.576,0.592,0.592,0.498,0.5019
motion,verbs,True,540+,500,0.776,0.776,0.776,0.711340206185567,1.0,0.552,0.998,0.99952,0.01,0.776,0.78,0.842,0.87,0.894,0.508,0.5039999999999999
nature_weather,entities,True,952-,500,0.54,0.54,0.54048,0.22818791946308725,0.7083333333333334,0.136,0.948,0.99016,0.01,0.54,0.596,0.636,0.66,0.656,0.496,0.5024
negation,grammar,True,1724+,500,0.674,0.6739999999999999,0.6736479999999999,0.5329512893982808,0.9393939393939394,0.372,0.998,1.0,0.01,0.674,0.718,0.786,0.866,0.884,0.496,0.5032
negative_emotion,attributes,True,820-,500,0.7,0.7,0.698056,0.592391304347826,0.923728813559322,0.436,0.988,0.999424,0.01,0.7,0.782,0.772,0.818,0.85,0.524,0.5024
perception,verbs,True,1860-,500,0.598,0.598,0.598,0.3277591973244147,1.0,0.196,0.992,0.999504,0.1,0.598,0.694,0.832,0.85,0.864,0.492,0.503
place_location,entities,True,1099+,500,0.706,0.706,0.7077439999999999,0.592797783933518,0.963963963963964,0.428,0.972,0.9968959999999999,0.01,0.706,0.75,0.814,0.852,0.85,0.486,0.5056999999999999
positive_emotion,attributes,True,1739+,500,0.696,0.696,0.6910879999999999,0.5957446808510638,0.8888888888888888,0.448,0.988,0.995872,1.0,0.696,0.714,0.764,0.784,0.818,0.498,0.5087
size,attributes,True,896-,500,0.706,0.706,0.7107839999999999,0.5994550408719346,0.9401709401709402,0.44,0.992,0.999808,10.0,0.706,0.706,0.908,0.93,0.93,0.504,0.5134999999999998
speech,verbs,True,1699+,500,0.708,0.708,0.708368,0.6096256684491979,0.9193548387096774,0.456,0.996,0.999984,0.01,0.708,0.744,0.776,0.828,0.866,0.502,0.5124000000000001
toy_play_object,entities,True,1813+,500,0.612,0.612,0.613624,0.3860759493670886,0.9242424242424242,0.244,0.948,0.9843680000000001,0.1,0.612,0.62,0.682,0.69,0.704,0.498,0.5026999999999999
