concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,331+,0.912,0.48,0.484672,0.912,0.9762559999999999,4.2821502685546875,-0.0008665003697387874,0.602,219,0.3698630136986301,0.1780821917808219,0.48148148148148145,0.894,0.964768,0.3561643835616438,0.9629629629629629,0.011303630566758024,0.0009336588736945339,395.55943311828605,394.3538769113347
body_part,entities,962-,0.946,0.59,0.611872,0.946,0.986416,4.297663688659668,-0.0002552308433223516,0.66,206,0.24271844660194175,0.15048543689320387,0.62,0.934,0.9772000000000001,0.24271844660194175,1.0,0.010461024252404893,0.0028177409632951585,411.26293325823247,410.8164351202048
cognition,verbs,179-,0.994,0.59,0.606768,0.994,0.99808,4.2620849609375,0.005161080043762922,0.764,247,0.19838056680161945,0.11336032388663968,0.5714285714285714,0.986,0.99736,0.19838056680161945,1.0,0.011493568379985603,0.0003233507500306266,403.24682528806215,399.70486318629133
color,attributes,170+,0.95,0.526,0.5582560000000001,0.95,0.992032,4.238760948181152,0.004690414294600487,0.622,236,0.1694915254237288,0.046610169491525424,0.275,0.952,0.9914240000000001,0.16101694915254236,0.95,0.013157779585713396,0.006297088249746747,370.8294051014061,369.14335820600724
desire_intention,verbs,1453-,0.994,0.536,0.566144,0.994,0.999328,4.218506813049316,-0.003554712748154998,0.692,239,0.2301255230125523,0.02092050209205021,0.09090909090909091,0.992,0.998208,0.2301255230125523,1.0,0.011190789538776186,0.0005998919222212433,396.3650201790223,396.31105412452706
eating_drinking,verbs,235-,0.982,0.53,0.5335040000000001,0.982,0.999392,4.237891674041748,-0.007414891384541988,0.722,229,0.07860262008733625,0.013100436681222707,0.16666666666666666,0.976,0.9981760000000001,0.07860262008733625,1.0,0.011550445307740347,0.00011892188224459993,391.28615623786845,390.74860549529404
family_relation,entities,1676-,0.954,0.502,0.44328,0.954,0.987632,4.265542984008789,0.007202180568128824,0.73,223,0.23318385650224216,0.07623318385650224,0.3269230769230769,0.946,0.9833919999999999,0.23318385650224216,1.0,0.011371348616607864,0.0006540636513790927,387.0394763629822,385.6155813437596
first_person_pronoun,grammar,1285+,0.912,0.596,0.619488,0.912,0.9640959999999998,4.27197265625,0.000818368571344763,0.606,198,0.2474747474747475,0.17676767676767677,0.7142857142857143,0.87,0.939136,0.2474747474747475,1.0,0.014139063006435774,2.8443068991196896e-05,371.79523776009216,367.201787274204
food_drink,entities,1630-,0.926,0.538,0.592576,0.926,0.9824,4.282958984375,0.002526917029172182,0.66,222,0.17117117117117117,0.04954954954954955,0.2894736842105263,0.894,0.9698079999999999,0.16216216216216217,0.9473684210526315,0.01206615172633329,0.0007854785447343045,381.0573118720605,381.40217114566656
helping_prosocial,verbs,959+,0.954,0.474,0.418272,0.954,0.9892,4.263266086578369,-0.00016716135723982006,0.578,213,0.3286384976525822,0.13145539906103287,0.4,0.946,0.977344,0.3286384976525822,1.0,0.013351579182727249,0.0013665551122500833,378.8991184817519,374.9976066063048
human_person,entities,1345-,0.912,0.528,0.51944,0.912,0.964384,4.268398284912109,0.001859059790149331,0.658,217,0.21658986175115208,0.09216589861751152,0.425531914893617,0.902,0.965056,0.20276497695852536,0.9361702127659575,0.01091051553023841,0.0010918024674332787,387.1920682417233,389.2932475529596
motion,verbs,1968-,0.974,0.62,0.692272,0.974,0.9930240000000001,4.23830509185791,-0.004636057186871767,0.658,232,0.24568965517241378,0.07758620689655173,0.3157894736842105,0.952,0.98872,0.23706896551724138,0.9649122807017544,0.010405073550492023,0.001803937122737996,406.31976068473784,406.55569293622085
nature_weather,entities,1820-,0.894,0.506,0.5301440000000001,0.894,0.957536,4.285016059875488,-0.0013034589355811477,0.6,214,0.3177570093457944,0.17289719626168223,0.5441176470588235,0.848,0.934816,0.2897196261682243,0.9117647058823529,0.0154034833854901,0.00043075394474134345,371.13481764618314,362.1137228992595
negation,grammar,637-,0.992,0.554,0.62728,0.992,0.999648,4.2705183029174805,-0.00024369859602302313,0.642,228,0.35964912280701755,0.08333333333333333,0.23170731707317074,0.986,0.9989439999999999,0.35964912280701755,1.0,0.011629514504605074,0.002274703960345905,381.58968689709724,382.3512902113643
negative_emotion,attributes,957-,0.994,0.438,0.374432,0.994,0.997568,4.24018669128418,-0.004246543161571026,0.73,242,0.11983471074380166,0.03305785123966942,0.27586206896551724,0.986,0.99688,0.11983471074380166,1.0,0.013856942384649311,0.00029192014914382314,360.20320626047965,362.1622085216921
