concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,331+,500,0.602,0.602,0.6276320000000001,0.5134474327628362,0.660377358490566,0.42,0.912,0.9762559999999999,1.0,0.602,0.644,0.65,0.69,0.712,0.48,0.539
body_part,entities,True,962-,500,0.66,0.6599999999999999,0.682064,0.6255506607929515,0.696078431372549,0.568,0.946,0.9864160000000001,0.01,0.66,0.71,0.75,0.792,0.79,0.512,0.5399999999999999
cognition,verbs,True,179-,500,0.764,0.764,0.792288,0.7377777777777778,0.83,0.664,0.994,0.99808,1.0,0.764,0.756,0.84,0.856,0.87,0.516,0.5408999999999999
color,attributes,True,170+,500,0.622,0.622,0.673136,0.5952890792291221,0.6405529953917051,0.556,0.95,0.992032,10.0,0.622,0.648,0.766,0.858,0.88,0.516,0.5412
desire_intention,verbs,True,1453-,500,0.692,0.692,0.719104,0.65,0.7526315789473684,0.572,0.994,0.999328,0.01,0.692,0.738,0.746,0.818,0.838,0.528,0.5642
eating_drinking,verbs,True,235-,500,0.722,0.722,0.797504,0.7073684210526315,0.7466666666666667,0.672,0.982,0.999392,0.01,0.722,0.766,0.792,0.818,0.832,0.504,0.5455
family_relation,entities,True,1676-,500,0.73,0.73,0.7788719999999999,0.7019867549668874,0.7832512315270936,0.636,0.954,0.987632,0.01,0.73,0.754,0.802,0.812,0.81,0.486,0.5622
female_pronoun,grammar,True,83-,500,0.514,0.514,0.5489200000000001,0.41445783132530123,0.5212121212121212,0.344,0.722,0.7804639999999999,10.0,0.514,0.562,0.56,0.582,0.602,0.48,0.5224000000000001
first_person_pronoun,grammar,True,1285+,500,0.606,0.606,0.6461760000000001,0.5612472160356348,0.6331658291457286,0.504,0.912,0.9640959999999998,0.1,0.606,0.674,0.754,0.798,0.8,0.52,0.5275000000000001
food_drink,entities,True,1630-,500,0.66,0.6599999999999999,0.704192,0.6304347826086957,0.6904761904761905,0.58,0.926,0.9824,1.0,0.66,0.682,0.706,0.71,0.73,0.518,0.5477000000000001
helping_prosocial,verbs,True,959+,500,0.578,0.578,0.601912,0.5258426966292135,0.6,0.468,0.954,0.9892,0.01,0.578,0.642,0.734,0.804,0.838,0.49,0.5359999999999999
human_person,entities,True,1345-,500,0.658,0.6579999999999999,0.714488,0.6225165562913907,0.6945812807881774,0.564,0.912,0.964384,1.0,0.658,0.706,0.71,0.748,0.75,0.528,0.5479999999999998
inside_dialogue,grammar,True,1562-,500,0.57,0.57,0.585424,0.48931116389548696,0.6023391812865497,0.412,0.676,0.7498079999999999,1.0,0.57,0.588,0.606,0.59,0.582,0.52,0.5182
male_pronoun,grammar,True,419-,500,0.556,0.556,0.5616479999999999,0.4931506849315068,0.574468085106383,0.432,0.742,0.796096,0.1,0.556,0.534,0.532,0.598,0.594,0.488,0.5123000000000001
motion,verbs,True,1968-,500,0.658,0.6579999999999999,0.678368,0.6290672451193059,0.6872037914691943,0.58,0.974,0.9930240000000001,0.1,0.658,0.642,0.744,0.788,0.802,0.492,0.5509999999999999
nature_weather,entities,True,1820-,500,0.6,0.6,0.6438640000000001,0.5145631067961165,0.654320987654321,0.424,0.894,0.957536,1.0,0.6,0.61,0.592,0.672,0.688,0.514,0.5296
negation,grammar,True,637-,500,0.642,0.642,0.663568,0.5866050808314087,0.6939890710382514,0.508,0.992,0.999648,0.01,0.642,0.666,0.652,0.754,0.792,0.51,0.5529
negative_emotion,attributes,True,957-,500,0.73,0.73,0.7709119999999999,0.7294589178356713,0.7309236947791165,0.728,0.994,0.997568,0.1,0.73,0.768,0.81,0.874,0.878,0.482,0.5665
perception,verbs,True,1594+,500,0.706,0.706,0.729744,0.6696629213483146,0.764102564102564,0.596,0.958,0.988432,0.01,0.706,0.71,0.77,0.776,0.784,0.508,0.5598000000000001
place_location,entities,True,848-,500,0.718,0.718,0.771712,0.6831460674157304,0.7794871794871795,0.608,0.91,0.9642719999999999,1.0,0.718,0.742,0.746,0.774,0.796,0.546,0.5472000000000001
positive_emotion,attributes,True,648-,500,0.68,0.6799999999999999,0.73424,0.6551724137931034,0.7102803738317757,0.608,0.974,0.997344,1.0,0.68,0.716,0.708,0.804,0.8,0.498,0.5523
size,attributes,True,170-,500,0.616,0.616,0.6357280000000001,0.5596330275229358,0.6559139784946236,0.488,0.952,0.991552,0.1,0.616,0.732,0.802,0.812,0.826,0.526,0.5496000000000001
speech,verbs,True,324+,500,0.666,0.666,0.7408959999999999,0.6263982102908278,0.7106598984771574,0.56,0.98,0.99032,10.0,0.666,0.734,0.774,0.814,0.806,0.506,0.5582999999999999
toy_play_object,entities,True,1208-,500,0.596,0.5960000000000001,0.642664,0.5756302521008403,0.6061946902654868,0.548,0.866,0.9328159999999999,0.01,0.596,0.676,0.688,0.68,0.684,0.514,0.529
