concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1447+,0.938,0.55,0.9681760000000001,0.938,0.962208,0.4928109645843506,-0.017595989629626274,0.55,204,0.0,0.0,,0.938,0.967984,0.0,,0.2678079553612414,0.2671589857469789,6.281985384768348,6.299241810800904
cognition,verbs,1872-,0.976,0.446,0.18428800000000004,0.976,0.992448,0.49132683873176575,-0.02207968197762966,0.568,235,0.774468085106383,0.774468085106383,1.0,0.964,0.988464,0.7617021276595745,0.9835164835164835,0.2596234240647726,0.0,9.415164078929177,8.315780509614466
desire_intention,verbs,1447+,0.902,0.584,0.9371519999999999,0.902,0.959584,0.49338337779045105,-0.018454231321811676,0.52,204,0.0,0.0,,0.966,0.9756800000000001,0.0,,0.2691542788925308,0.1030066893376226,5.444441061398146,5.489476134231269
eating_drinking,verbs,1447-,0.894,0.556,0.573232,0.894,0.931472,0.4915182888507843,-0.017957914620637894,0.56,173,0.7861271676300579,0.0,0.0,0.898,0.9153439999999999,0.7861271676300579,1.0,0.30410429367776237,0.010005312554912629,4.867844405500275,5.274853342065489
family_relation,entities,1447-,0.854,0.762,0.6003519999999999,0.854,0.9330239999999999,0.48814186453819275,-0.011342275887727737,0.762,160,0.18125,0.0,0.0,0.856,0.9279999999999999,0.18125,1.0,0.17130630654589446,0.06491386884262354,13.936865523155829,11.524944173252061
first_person_pronoun,grammar,1447-,0.886,0.62,0.3260800000000001,0.886,0.954576,0.49348780512809753,-0.018357805907726288,0.62,215,0.7302325581395349,0.0,0.0,0.864,0.957264,0.7302325581395349,1.0,0.3134149480944466,0.00928076106364713,5.04804920836998,5.777487418711602
helping_prosocial,verbs,252+,0.852,0.508,0.459312,0.852,0.897712,0.4921044707298279,-0.019131997600197792,0.576,96,0.03125,0.0,0.0,0.836,0.902784,0.03125,1.0,0.21614029321687445,0.004217663930477354,7.0614558732473025,7.151711785042928
motion,verbs,1447+,0.952,0.47,0.07790400000000004,0.952,0.94584,0.4932030737400055,-0.018771231174468994,0.53,244,0.0,0.0,,0.944,0.939344,0.0,,0.34796805885186716,0.18787732181673786,5.167805252099772,5.221045977198186
negation,grammar,1447-,0.892,0.616,0.7935040000000001,0.892,0.9677920000000001,0.47883886098861694,-0.007455732673406601,0.628,164,0.006097560975609756,0.0,0.0,0.87,0.957856,0.006097560975609756,1.0,0.18543688980598624,0.0707592275528574,12.492926422560283,10.629354276511613
perception,verbs,1447-,0.882,0.402,0.414432,0.882,0.932256,0.4920133948326111,-0.018128007650375366,0.568,132,0.7348484848484849,0.5757575757575758,0.7835051546391752,0.876,0.935408,0.7348484848484849,1.0,0.2540512392947269,0.03171398363068081,8.145266094943576,7.781280854254025
speech,verbs,183+,0.94,0.506,0.13030399999999998,0.94,0.952784,0.4919585585594177,-0.01686233840882778,0.806,208,0.22596153846153846,0.18269230769230768,0.8085106382978723,0.942,0.9712,0.22115384615384615,0.9787234042553191,0.1396134700599285,0.003898544395703654,13.253206867679925,12.803705552878968
