concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1447+,500,0.55,0.55,0.9688,0.6887966804979253,0.5264270613107822,0.996,0.938,0.962208,1.0,0.55,0.93,0.886,0.862,0.864,0.486,0.6228
body_part,entities,True,1447+,500,0.522,0.522,0.592608,0.6765899864682002,0.5112474437627812,1.0,0.724,0.806944,10.0,0.522,0.664,0.666,0.666,0.666,0.518,0.5631999999999999
cognition,verbs,True,1872-,500,0.568,0.5680000000000001,0.573752,0.3374233128834356,0.7236842105263158,0.22,0.976,0.992448,10.0,0.568,0.594,0.606,0.642,0.648,0.5,0.5714
color,attributes,True,252+,500,0.646,0.646,0.694272,0.7140549273021002,0.5989159891598916,0.884,0.694,0.8010720000000001,1.0,0.646,0.676,0.646,0.642,0.67,0.478,0.5749
desire_intention,verbs,True,1447+,500,0.52,0.52,0.9372319999999998,0.6756756756756757,0.5102040816326531,1.0,0.902,0.959584,10.0,0.52,0.802,0.802,0.822,0.822,0.506,0.5835
eating_drinking,verbs,True,1447-,500,0.56,0.5599999999999999,0.55852,0.25170068027210885,0.8409090909090909,0.148,0.894,0.931472,1.0,0.56,0.548,0.566,0.868,0.864,0.496,0.6217999999999999
family_relation,entities,True,1447-,500,0.762,0.762,0.762,0.6876640419947506,1.0,0.524,0.854,0.9330239999999999,10.0,0.762,0.808,0.808,0.834,0.834,0.49,0.6580000000000001
female_pronoun,grammar,True,1662-,500,0.602,0.602,0.5901279999999999,0.4636118598382749,0.7107438016528925,0.344,0.702,0.761152,0.1,0.602,0.602,0.602,0.558,0.628,0.486,0.509
first_person_pronoun,grammar,True,1447-,500,0.62,0.62,0.62,0.3870967741935484,1.0,0.24,0.886,0.954576,1.0,0.62,0.616,0.618,0.618,0.618,0.492,0.5444
food_drink,entities,True,252+,500,0.582,0.582,0.568688,0.6930983847283406,0.5475638051044084,0.944,0.604,0.682848,1.0,0.582,0.586,0.598,0.598,0.598,0.496,0.5394
helping_prosocial,verbs,True,252+,500,0.576,0.5760000000000001,0.634112,0.5450643776824035,0.5879629629629629,0.508,0.852,0.897712,1.0,0.576,0.666,0.702,0.816,0.816,0.494,0.5701
human_person,entities,True,1447-,500,0.524,0.524,0.527416,0.19594594594594594,0.6304347826086957,0.116,0.716,0.7689440000000001,0.1,0.524,0.524,0.638,0.652,0.636,0.502,0.5102000000000001
inside_dialogue,grammar,True,252+,500,0.544,0.544,0.56064,0.6481481481481481,0.5276381909547738,0.84,0.532,0.544,10.0,0.544,0.514,0.518,0.538,0.536,0.518,0.4889
male_pronoun,grammar,True,252+,500,0.548,0.548,0.550064,0.599290780141844,0.5382165605095541,0.676,0.582,0.6140319999999999,10.0,0.548,0.542,0.542,0.578,0.584,0.502,0.5048999999999999
motion,verbs,True,1447+,500,0.53,0.53,0.923232,0.6802721088435374,0.5154639175257731,1.0,0.952,0.94584,1.0,0.53,0.822,0.912,0.912,0.894,0.502,0.6601000000000001
nature_weather,entities,True,252+,500,0.588,0.588,0.607328,0.6666666666666666,0.5597826086956522,0.824,0.61,0.6573599999999999,1.0,0.588,0.584,0.578,0.59,0.59,0.506,0.5296999999999998
negation,grammar,True,1447-,500,0.628,0.628,0.723816,0.6450381679389313,0.6167883211678832,0.676,0.892,0.9677920000000001,10.0,0.628,0.624,0.686,0.814,0.806,0.464,0.5698
negative_emotion,attributes,True,570+,500,0.498,0.498,0.498048,0.01568627450980392,0.4,0.008,0.714,0.7730720000000001,1.0,0.498,0.498,0.502,0.502,0.502,0.502,0.5082
perception,verbs,True,1447-,500,0.568,0.568,0.5674239999999999,0.25,0.9473684210526315,0.144,0.882,0.932256,1.0,0.568,0.59,0.592,0.598,0.594,0.496,0.581
place_location,entities,True,252+,500,0.55,0.5499999999999999,0.45696800000000004,0.25249169435215946,0.7450980392156863,0.152,0.742,0.836672,10.0,0.55,0.55,0.642,0.646,0.646,0.474,0.5224
positive_emotion,attributes,True,1447+,500,0.518,0.518,0.818,0.6747638326585695,0.5091649694501018,1.0,0.794,0.843872,10.0,0.518,0.782,0.78,0.782,0.772,0.506,0.6157999999999999
size,attributes,True,1447-,500,0.702,0.702,0.671008,0.5754985754985755,1.0,0.404,0.746,0.872736,10.0,0.702,0.69,0.702,0.702,0.702,0.51,0.6327
speech,verbs,True,183+,500,0.806,0.806,0.794848,0.7717647058823529,0.9371428571428572,0.656,0.94,0.952784,10.0,0.806,0.806,0.806,0.82,0.82,0.498,0.6144000000000001
toy_play_object,entities,True,1447-,500,0.568,0.5680000000000001,0.5680000000000001,0.23943661971830985,1.0,0.136,0.698,0.764464,10.0,0.568,0.568,0.568,0.568,0.568,0.49,0.5314
